Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport4, 1.1, 58.179721, 57.000000, 1, 0, 3
Airport4, 2.4, 86.690669, 85.000000, 1, 1, 3
Airport4, 2.3, 87.938316, 86.000000, 1, 1, 3
Airport4, 1.2, 88.999567, 88.000000, 1, 0, 3
Airport4, 2.6, 119.673690, 118.000000, 1, 1, 3
Airport4, 3.7, 146.279798, 144.483206, 1, 2, 3
Airport4, 3.8, 149.394789, 148.000000, 1, 2, 3
Airport4, 2.9, 176.146575, 175.000000, 1, 1, 3
Airport4, 1.5, 195.620561, 194.000000, 1, 0, 3
Airport4, 4.4, 238.177095, 237.000000, 2, 1, 3
Airport4, 1.3, 241.997311, 240.000000, 2, 2, 3
Airport4, 3.5, 266.268644, 264.000000, 2, 1, 3
Airport4, 4.9, 295.002069, 294.000000, 2, 1, 3
Airport4, 1.1, 324.004903, 323.000000, 3, 2, 3
Airport4, 2.4, 331.492923, 330.000000, 3, 2, 3
Airport4, 1.10, 354.434460, 352.000000, 1, 0, 3
Airport4, 1.6, 354.305865, 352.897723, 2, 2, 3
Airport4, 4.3, 357.633228, 357.000000, 3, 2, 3
Airport4, 2.2, 386.167187, 385.000000, 2, 0, 3
Airport4, 2.9, 386.974451, 386.000000, 3, 2, 3
Airport4, 1.8, 416.122849, 414.000000, 2, 1, 3
Airport4, 3.8, 418.258225, 416.000000, 3, 1, 3
Airport4, 2.1, 417.330359, 416.000000, 2, 0, 3
Airport4, 4.2, 442.056632, 441.000000, 4, 2, 3
Airport4, 4.10, 510.383156, 509.000000, 4, 2, 3
Airport4, 3.4, 539.867734, 538.000000, 3, 2, 3
Airport4, 3.6, 548.798700, 547.000000, 2, 0, 3
Airport4, 2.2, 565.303182, 564.000000, 4, 2, 3
Airport4, 4.3, 592.076197, 590.000000, 6, 1, 3
Airport4, 4.8, 608.085094, 606.000000, 2, 0, 3
Airport4, 1.7, 629.068697, 627.000000, 5, 2, 3
Airport4, 1.8, 652.988862, 651.000000, 5, 1, 3
Airport4, 2.8, 658.542827, 657.000000, 6, 2, 3
Airport4, 2.2, 681.907200, 680.000000, 6, 1, 3
Airport4, 3.6, 686.748058, 686.000000, 4, 2, 3
Airport4, 1.7, 742.468362, 742.000000, 7, 2, 3
Airport4, 4.5, 768.423163, 767.000000, 3, 0, 3
Airport4, 2.8, 774.814933, 773.000000, 8, 2, 3
Airport4, 1.2, 855.158280, 853.000000, 4, 1, 3
Airport4, 2.8, 887.318112, 885.000000, 10, 1, 3
Airport4, 4.6, 920.024743, 919.000000, 4, 2, 3
Airport4, 3.10, 932.094134, 931.000000, 3, 0, 3
Airport4, 1.4, 950.682163, 950.000000, 4, 1, 3
Airport4, 1.5, 962.448116, 960.000000, 3, 0, 3
Airport4, 1.2, 965.328660, 964.000000, 6, 2, 3
Airport4, 4.4, 992.963985, 991.000000, 4, 0, 3
