Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport3, 1.1, 58.179721, 57.000000, 1, 0, 2
Airport3, 2.4, 86.690669, 85.000000, 1, 1, 2
Airport3, 2.3, 87.938316, 86.000000, 1, 1, 2
Airport3, 1.2, 88.999567, 88.000000, 1, 0, 2
Airport3, 2.6, 118.210314, 117.000000, 1, 1, 2
Airport3, 2.7, 146.279798, 144.483206, 1, 1, 2
Airport3, 2.8, 150.770259, 148.000000, 1, 1, 2
Airport3, 2.9, 175.289890, 174.000000, 1, 1, 2
Airport3, 2.10, 179.683311, 178.000000, 1, 1, 2
Airport3, 1.5, 195.781727, 194.000000, 1, 0, 2
Airport3, 1.6, 297.781346, 297.000000, 2, 1, 2
Airport3, 1.2, 331.016533, 330.000000, 3, 1, 2
Airport3, 2.6, 358.581962, 357.000000, 3, 1, 2
Airport3, 2.2, 384.260883, 382.000000, 2, 0, 2
Airport3, 2.7, 385.671863, 384.000000, 3, 1, 2
Airport3, 2.8, 415.527948, 413.211509, 3, 1, 2
Airport3, 2.1, 414.884346, 414.000000, 2, 0, 2
Airport3, 1.9, 418.837707, 417.000000, 2, 1, 2
Airport3, 1.10, 447.177119, 444.873908, 2, 1, 2
Airport3, 3.4, 449.562950, 449.000000, 2, 0, 2
Airport3, 1.6, 474.494318, 472.000000, 4, 1, 2
Airport3, 3.3, 483.947445, 483.000000, 2, 0, 2
Airport3, 2.5, 517.769932, 517.000000, 2, 0, 2
Airport3, 3.6, 545.051106, 544.000000, 2, 0, 2
Airport3, 3.7, 577.219897, 576.000000, 2, 0, 2
Airport3, 3.4, 586.321561, 585.000000, 4, 1, 2
Airport3, 2.5, 629.831424, 629.000000, 4, 1, 2
Airport3, 3.9, 642.245268, 640.806324, 2, 0, 2
Airport3, 3.7, 688.911414, 688.000000, 4, 1, 2
Airport3, 3.1, 706.523216, 705.000000, 3, 0, 2
Airport3, 3.2, 795.660676, 794.000000, 4, 1, 2
Airport3, 1.3, 802.610477, 801.000000, 3, 0, 2
Airport3, 1.4, 890.605931, 890.000000, 4, 1, 2
Airport3, 2.4, 898.917263, 898.000000, 4, 0, 2
Airport3, 1.1, 937.329245, 936.000000, 5, 1, 2
Airport3, 1.5, 1000.271131, 999.000000, 3, 0, 2
