Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport1, 1.1, 58.179721, 56.679356, 0, 0, 2
Airport1, 1.2, 88.999567, 87.924488, 0, 0, 2
Airport1, 1.3, 121.429065, 119.866824, 0, 0, 1
Airport1, 1.4, 159.828889, 157.609616, 0, 0, 1
Airport1, 1.5, 195.781727, 193.847792, 0, 0, 2
Airport1, 1.6, 225.339211, 223.377469, 0, 0, 1
Airport1, 1.7, 256.192313, 254.016790, 0, 0, 1
Airport1, 1.8, 285.144760, 283.270308, 0, 0, 1
Airport1, 1.9, 317.499535, 315.928795, 0, 0, 1
Airport1, 1.10, 351.778882, 349.206823, 0, 0, 1
Airport1, 2.2, 384.260883, 381.867893, 1, 0, 2
Airport1, 2.1, 414.884346, 413.252091, 1, 0, 2
Airport1, 3.4, 449.562950, 448.019206, 1, 0, 2
Airport1, 3.3, 483.947445, 482.368557, 1, 0, 2
Airport1, 2.5, 517.769932, 516.116062, 1, 0, 2
Airport1, 3.6, 545.051106, 543.861021, 1, 0, 2
Airport1, 3.7, 577.219897, 575.342680, 1, 0, 2
Airport1, 3.8, 615.460177, 613.644082, 1, 0, 1
Airport1, 3.9, 642.245268, 640.209922, 1, 0, 2
Airport1, 3.10, 674.056132, 672.121324, 1, 0, 1
Airport1, 3.1, 706.523216, 704.398111, 2, 0, 2
Airport1, 3.2, 737.455215, 735.331261, 2, 0, 1
Airport1, 3.5, 775.309412, 772.795775, 2, 0, 1
Airport1, 1.3, 802.610477, 800.790968, 2, 0, 2
Airport1, 1.4, 833.078347, 831.683209, 2, 0, 1
Airport1, 1.1, 867.216354, 865.125458, 3, 0, 1
Airport1, 2.4, 898.917263, 897.537315, 3, 0, 2
Airport1, 2.9, 932.656353, 930.698296, 2, 0, 1
Airport1, 2.3, 965.309156, 963.050902, 3, 0, 1
Airport1, 1.5, 1000.271131, 998.591967, 2, 0, 2
