Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport4, 4.2, 55.956887, 53.629319, 0, 3, 2
Airport4, 4.1, 56.408870, 54.332175, 0, 3, 2
Airport4, 4.4, 87.470013, 84.628382, 0, 3, 1
Airport4, 4.3, 88.655146, 86.297645, 0, 3, 1
Airport4, 4.5, 116.173475, 114.143174, 0, 3, 2
Airport4, 4.6, 119.838709, 117.586381, 0, 3, 1
Airport4, 4.7, 145.906918, 144.391174, 0, 3, 0
Airport4, 4.8, 149.299025, 147.547130, 0, 3, 0
Airport4, 4.9, 176.333265, 174.504001, 0, 3, 1
Airport4, 4.10, 180.188285, 177.683535, 0, 3, 2
Airport4, 1.1, 206.339181, 203.952575, 1, 3, 2
Airport4, 2.4, 210.271621, 208.442248, 1, 3, 2
Airport4, 2.3, 234.849492, 233.156562, 1, 3, 1
Airport4, 1.2, 240.130528, 237.794321, 1, 3, 0
Airport4, 2.6, 263.648486, 261.700270, 1, 3, 1
Airport4, 3.7, 266.951684, 265.372796, 1, 3, 2
Airport4, 3.8, 293.797009, 292.213653, 1, 3, 1
Airport4, 2.9, 297.835022, 296.284433, 1, 3, 2
Airport4, 1.5, 322.312280, 320.950493, 1, 3, 0
Airport4, 4.4, 325.927966, 323.715619, 2, 3, 0
Airport4, 1.3, 353.939648, 352.178479, 2, 3, 0
Airport4, 3.5, 357.991439, 356.366768, 2, 3, 0
Airport4, 4.9, 383.233708, 381.467695, 2, 3, 2
Airport4, 1.1, 387.835237, 386.210217, 3, 3, 0
Airport4, 2.4, 413.576036, 411.298119, 3, 3, 1
Airport4, 1.6, 417.464731, 415.951776, 2, 3, 1
Airport4, 1.10, 442.033430, 439.707372, 1, 3, 0
Airport4, 4.3, 448.185644, 446.377314, 3, 3, 2
Airport4, 2.2, 471.462583, 469.321512, 2, 3, 2
Airport4, 2.9, 476.850112, 474.592468, 3, 3, 2
Airport4, 1.8, 499.380115, 497.945510, 2, 3, 2
Airport4, 2.1, 506.309908, 504.577547, 2, 3, 0
Airport4, 3.8, 531.089349, 529.410185, 3, 3, 2
Airport4, 4.2, 538.995672, 536.172009, 4, 3, 0
Airport4, 4.10, 566.711789, 564.410467, 4, 3, 0
Airport4, 3.4, 596.378861, 594.880318, 3, 3, 1
Airport4, 3.6, 605.538748, 603.607696, 2, 3, 2
Airport4, 2.2, 624.843574, 622.602267, 4, 3, 1
Airport4, 4.3, 649.103350, 647.047480, 6, 3, 1
Airport4, 4.8, 665.645645, 663.788680, 2, 3, 0
Airport4, 1.7, 687.423102, 685.364875, 5, 3, 2
Airport4, 1.8, 711.676170, 709.860195, 5, 3, 0
Airport4, 2.8, 715.772513, 714.099313, 6, 3, 2
Airport4, 2.2, 739.701120, 738.156494, 6, 3, 0
Airport4, 3.6, 747.878511, 745.727753, 4, 3, 0
Airport4, 1.7, 798.304841, 796.548819, 7, 3, 2
Airport4, 4.5, 822.154322, 820.064175, 3, 3, 0
Airport4, 2.8, 830.959840, 828.864303, 8, 3, 1
Airport4, 1.2, 910.757102, 908.772201, 4, 3, 2
Airport4, 2.8, 943.177909, 941.325951, 10, 3, 1
Airport4, 4.6, 977.503602, 975.229815, 4, 3, 2
Airport4, 3.10, 989.339679, 987.435126, 3, 3, 2
