Current sim time, airport, event name, airplane id, runway queue size, gate queue size, baggage cart queue size, fuel truck queue size
49.027712, Airport4, LeaveGate, 4.4, 0, 5, 1, 0, 
49.304969, Airport4, StartClean, 4.3, 0, 5, 1, 0, 
50.242258, Airport4, StartClean, 4.5, 0, 5, 1, 0, 
53.629319, Airport4, Leave, 4.2, 0, 5, 1, 0, 
54.332175, Airport4, Leave, 4.1, 0, 5, 1, 0, 
54.655344, Airport4, LoadLuggage, 4.4, 0, 5, 1, 0, 
56.498721, Airport4, LoadLuggage, 4.3, 0, 5, 1, 0, 
58.179721, Airport4, AcquireRunwayLand, 1.1, 0, 5, 1, 0, 
58.179721, Airport4, Land, 1.1, 0, 5, 1, 0, 
59.461122, Airport4, StartEmbark, 4.3, 0, 5, 1, 0, 
60.197279, Airport4, StartEmbark, 4.5, 0, 5, 1, 0, 
61.551653, Airport4, ReleaseFuelTruck, 4.3, 0, 5, 1, 0, 
61.551653, Airport4, LeaveGate, 4.3, 0, 5, 1, 0, 
62.368263, Airport4, Taxi2Gate, 1.1, 0, 5, 1, 0, 
67.022066, Airport4, AcquireGate, 1.1, 0, 5, 1, 0, 
68.267060, Airport4, ReleaseFuelTruck, 4.5, 0, 6, 1, 0, 
68.267060, Airport4, LeaveGate, 4.5, 0, 6, 1, 0, 
71.158871, Airport4, ReleaseLuggageCart, 4.4, 0, 6, 1, 0, 
71.158871, Airport4, UnloadLuggage, 4.5, 0, 6, 0, 0, 
71.158871, Airport4, LeaveGate, 4.4, 0, 6, 0, 0, 
71.158871, Airport4, DockAtGate, 4.6, 0, 5, 0, 0, 
72.863202, Airport4, LeaveGate, 4.3, 0, 5, 0, 0, 
72.879327, Airport4, ReleaseLuggageCart, 4.3, 0, 5, 0, 0, 
72.879327, Airport4, LeaveGate, 4.3, 0, 5, 0, 0, 
72.879327, Airport4, DockAtGate, 4.7, 0, 4, 0, 0, 
73.078833, Airport4, ArriveGate, 4.6, 0, 4, 0, 0, 
73.078833, Airport4, UnloadLuggage, 4.6, 0, 4, 0, 0, 
73.078833, Airport4, FuelPlane, 4.6, 0, 4, 0, 0, 
73.243401, Airport4, Taxi2RunwayEA, 4.4, 0, 4, 0, 0, 
73.598682, Airport4, LeaveGate, 4.5, 0, 4, 0, 0, 
74.441569, Airport4, ArriveGate, 4.7, 0, 4, 0, 0, 
74.441569, Airport4, FuelPlane, 4.7, 0, 4, 1, 0, 
75.189010, Airport4, Taxi2RunwayEA, 4.3, 0, 4, 1, 0, 
77.058813, Airport4, AcquireRunwayTakeoff, 4.4, 0, 4, 1, 0, 
77.058813, Airport4, Takeoff, 4.4, 0, 4, 1, 0, 
78.848158, Airport4, AcquireRunwayTakeoff, 4.3, 0, 4, 1, 0, 
78.848158, Airport4, Takeoff, 4.3, 0, 4, 1, 0, 
79.726586, Airport4, StartClean, 4.7, 0, 4, 1, 0, 
80.893266, Airport4, StartClean, 4.6, 0, 4, 1, 0, 
84.628382, Airport4, Leave, 4.4, 0, 4, 1, 0, 
85.067350, Airport4, LoadLuggage, 4.5, 0, 4, 1, 0, 
86.297645, Airport4, Leave, 4.3, 0, 4, 1, 0, 
86.690669, Airport4, AcquireRunwayLand, 2.4, 0, 4, 1, 0, 
86.690669, Airport4, Land, 2.4, 0, 4, 1, 0, 
86.757297, Airport4, LoadLuggage, 4.6, 0, 4, 1, 0, 
87.938316, Airport4, AcquireRunwayLand, 2.3, 0, 4, 1, 0, 
87.938316, Airport4, Land, 2.3, 0, 4, 1, 0, 
88.999567, Airport4, AcquireRunwayLand, 1.2, 0, 4, 1, 0, 
90.426644, Airport4, StartEmbark, 4.7, 1, 4, 1, 0, 
91.228282, Airport4, StartEmbark, 4.6, 1, 4, 1, 0, 
91.790117, Airport4, Taxi2Gate, 2.4, 1, 4, 1, 0, 
91.790117, Airport4, Land, 1.2, 0, 4, 1, 0, 
92.461962, Airport4, ReleaseFuelTruck, 4.6, 0, 4, 1, 0, 
92.461962, Airport4, LeaveGate, 4.6, 0, 4, 1, 0, 
93.157589, Airport4, Taxi2Gate, 2.3, 0, 4, 1, 0, 
93.215948, Airport4, ReleaseFuelTruck, 4.7, 0, 4, 1, 0, 
93.215948, Airport4, LeaveGate, 4.7, 0, 4, 1, 0, 
95.435203, Airport4, AcquireGate, 2.4, 0, 4, 1, 0, 
96.853696, Airport4, Taxi2Gate, 1.2, 0, 5, 1, 0, 
97.185346, Airport4, AcquireGate, 2.3, 0, 5, 1, 0, 
100.435033, Airport4, ReleaseLuggageCart, 4.5, 0, 6, 1, 0, 
100.435033, Airport4, UnloadLuggage, 4.7, 0, 6, 0, 0, 
100.435033, Airport4, LeaveGate, 4.5, 0, 6, 0, 0, 
100.435033, Airport4, DockAtGate, 4.8, 0, 5, 0, 0, 
100.752816, Airport4, AcquireGate, 1.2, 0, 5, 0, 0, 
102.279243, Airport4, Taxi2RunwayEA, 4.5, 0, 6, 0, 0, 
102.532618, Airport4, ArriveGate, 4.8, 0, 6, 0, 0, 
102.532618, Airport4, FuelPlane, 4.8, 0, 6, 1, 0, 
103.026268, Airport4, ReleaseLuggageCart, 4.6, 0, 6, 1, 0, 
103.026268, Airport4, UnloadLuggage, 4.8, 0, 6, 0, 0, 
103.026268, Airport4, LeaveGate, 4.6, 0, 6, 0, 0, 
103.626419, Airport4, LeaveGate, 4.7, 0, 6, 0, 0, 
104.114081, Airport4, LeaveGate, 4.6, 0, 6, 0, 0, 
104.114081, Airport4, DockAtGate, 4.9, 0, 5, 0, 0, 
105.995636, Airport4, Taxi2RunwayEA, 4.6, 0, 5, 0, 0, 
106.375102, Airport4, ArriveGate, 4.9, 0, 5, 0, 0, 
106.375102, Airport4, FuelPlane, 4.9, 0, 5, 1, 0, 
107.014540, Airport4, AcquireRunwayTakeoff, 4.5, 0, 5, 1, 0, 
107.014540, Airport4, Takeoff, 4.5, 0, 5, 1, 0, 
109.071920, Airport4, StartClean, 4.8, 0, 5, 1, 0, 
110.614829, Airport4, AcquireRunwayTakeoff, 4.6, 0, 5, 1, 0, 
110.614829, Airport4, Takeoff, 4.6, 0, 5, 1, 0, 
113.733256, Airport4, StartClean, 4.9, 0, 5, 1, 0, 
114.143174, Airport4, Leave, 4.5, 0, 5, 1, 0, 
114.274988, Airport4, LoadLuggage, 4.7, 0, 5, 1, 0, 
116.906377, Airport4, LoadLuggage, 4.8, 0, 5, 1, 0, 
117.586381, Airport4, Leave, 4.6, 0, 5, 1, 0, 
118.560892, Airport4, StartEmbark, 4.8, 0, 5, 1, 0, 
119.673690, Airport4, AcquireRunwayLand, 2.6, 0, 5, 1, 0, 
119.673690, Airport4, Land, 2.6, 0, 5, 1, 0, 
121.088385, Airport4, ReleaseFuelTruck, 4.8, 0, 5, 1, 0, 
121.088385, Airport4, LeaveGate, 4.8, 0, 5, 1, 0, 
123.558144, Airport4, StartEmbark, 4.9, 0, 5, 1, 0, 
124.679203, Airport4, Taxi2Gate, 2.6, 0, 5, 1, 0, 
125.309037, Airport4, ReleaseFuelTruck, 4.9, 0, 5, 1, 0, 
125.309037, Airport4, LeaveGate, 4.9, 0, 5, 1, 0, 
128.682398, Airport4, AcquireGate, 2.6, 0, 5, 1, 0, 
130.521464, Airport4, ReleaseLuggageCart, 4.7, 0, 6, 1, 0, 
130.521464, Airport4, UnloadLuggage, 4.9, 0, 6, 0, 0, 
130.521464, Airport4, LeaveGate, 4.7, 0, 6, 0, 0, 
130.521464, Airport4, DockAtGate, 4.10, 0, 5, 0, 0, 
132.142748, Airport4, LeaveGate, 4.8, 0, 5, 0, 0, 
132.467598, Airport4, Taxi2RunwayEA, 4.7, 0, 5, 0, 0, 
132.569195, Airport4, ArriveGate, 4.10, 0, 5, 0, 0, 
132.569195, Airport4, FuelPlane, 4.10, 0, 5, 1, 0, 
133.753926, Airport4, ReleaseLuggageCart, 4.8, 0, 5, 1, 0, 
133.753926, Airport4, UnloadLuggage, 4.10, 0, 5, 0, 0, 
133.753926, Airport4, LeaveGate, 4.8, 0, 5, 0, 0, 
133.753926, Airport4, DockAtGate, 1.1, 0, 4, 0, 0, 
135.015909, Airport4, ArriveGate, 1.1, 0, 4, 0, 0, 
135.015909, Airport4, FuelPlane, 1.1, 0, 4, 1, 0, 
136.539460, Airport4, Taxi2RunwayEA, 4.8, 0, 4, 1, 0, 
136.618217, Airport4, LeaveGate, 4.9, 0, 4, 1, 0, 
136.928063, Airport4, AcquireRunwayTakeoff, 4.7, 0, 4, 1, 0, 
136.928063, Airport4, Takeoff, 4.7, 0, 4, 1, 0, 
139.298722, Airport4, StartClean, 4.10, 0, 4, 1, 0, 
140.371606, Airport4, AcquireRunwayTakeoff, 4.8, 0, 4, 1, 0, 
140.371606, Airport4, Takeoff, 4.8, 0, 4, 1, 0, 
142.035378, Airport4, StartClean, 1.1, 0, 4, 1, 0, 
144.391174, Airport4, Leave, 4.7, 0, 4, 1, 0, 
144.483206, Airport4, LoadLuggage, 4.9, 0, 4, 1, 0, 
146.279798, Airport4, AcquireRunwayLand, 3.7, 0, 4, 1, 0, 
146.279798, Airport4, Land, 3.7, 0, 4, 1, 0, 
147.547130, Airport4, Leave, 4.8, 0, 4, 1, 0, 
148.553555, Airport4, LoadLuggage, 4.10, 0, 4, 1, 0, 
148.598921, Airport4, StartEmbark, 4.10, 0, 4, 1, 0, 
149.394789, Airport4, AcquireRunwayLand, 3.8, 0, 4, 1, 0, 
149.394789, Airport4, Land, 3.8, 0, 4, 1, 0, 
150.716502, Airport4, Taxi2Gate, 3.7, 0, 4, 1, 0, 
151.679511, Airport4, ReleaseFuelTruck, 4.10, 0, 4, 1, 0, 
151.679511, Airport4, LeaveGate, 4.10, 0, 4, 1, 0, 
152.328187, Airport4, StartEmbark, 1.1, 0, 4, 1, 0, 
153.843733, Airport4, AcquireGate, 3.7, 0, 4, 1, 0, 
153.868184, Airport4, ReleaseFuelTruck, 1.1, 0, 5, 1, 0, 
153.868184, Airport4, LeaveGate, 1.1, 0, 5, 1, 0, 
154.531522, Airport4, Taxi2Gate, 3.8, 0, 5, 1, 0, 
158.566051, Airport4, AcquireGate, 3.8, 0, 5, 1, 0, 
160.992766, Airport4, LeaveGate, 4.10, 0, 6, 1, 0, 
161.295380, Airport4, ReleaseLuggageCart, 4.9, 0, 6, 1, 0, 
161.295380, Airport4, UnloadLuggage, 1.1, 0, 6, 0, 0, 
161.295380, Airport4, LeaveGate, 4.9, 0, 6, 0, 0, 
161.295380, Airport4, DockAtGate, 2.4, 0, 5, 0, 0, 
162.820739, Airport4, Taxi2RunwayEA, 4.9, 0, 5, 0, 0, 
162.927125, Airport4, ArriveGate, 2.4, 0, 5, 0, 0, 
162.927125, Airport4, FuelPlane, 2.4, 0, 5, 1, 0, 
164.924447, Airport4, ReleaseLuggageCart, 4.10, 0, 5, 1, 0, 
164.924447, Airport4, UnloadLuggage, 2.4, 0, 5, 0, 0, 
164.924447, Airport4, LeaveGate, 4.10, 0, 5, 0, 0, 
164.924447, Airport4, DockAtGate, 2.3, 0, 4, 0, 0, 
165.528546, Airport4, LeaveGate, 1.1, 0, 4, 0, 0, 
166.695191, Airport4, AcquireRunwayTakeoff, 4.9, 0, 4, 0, 0, 
166.695191, Airport4, Takeoff, 4.9, 0, 4, 0, 0, 
166.929229, Airport4, ArriveGate, 2.3, 0, 4, 0, 0, 
166.929229, Airport4, FuelPlane, 2.3, 0, 4, 1, 0, 
167.328804, Airport4, Taxi2RunwayEA, 4.10, 0, 4, 1, 0, 
168.419900, Airport4, StartClean, 2.4, 0, 4, 1, 0, 
170.638463, Airport4, AcquireRunwayTakeoff, 4.10, 0, 4, 1, 0, 
170.638463, Airport4, Takeoff, 4.10, 0, 4, 1, 0, 
173.274950, Airport4, StartClean, 2.3, 0, 4, 1, 0, 
174.504001, Airport4, Leave, 4.9, 0, 4, 1, 0, 
175.232040, Airport4, LoadLuggage, 1.1, 0, 4, 1, 0, 
176.146575, Airport4, AcquireRunwayLand, 2.9, 0, 4, 1, 0, 
176.146575, Airport4, Land, 2.9, 0, 4, 1, 0, 
177.683535, Airport4, Leave, 4.10, 0, 4, 1, 0, 
178.123956, Airport4, StartEmbark, 2.4, 0, 4, 1, 0, 
