Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport1, 2.2, 55.956887, 54.000000, 1, 1, 0
Airport1, 2.1, 56.408870, 55.000000, 1, 1, 0
Airport1, 3.4, 87.470013, 85.000000, 1, 2, 0
Airport1, 3.3, 88.655146, 87.000000, 1, 2, 0
Airport1, 2.5, 116.478380, 115.000000, 1, 1, 0
Airport1, 3.6, 119.838709, 118.000000, 1, 2, 0
Airport1, 3.7, 145.906918, 145.000000, 1, 2, 0
Airport1, 3.8, 149.299025, 148.000000, 1, 2, 0
Airport1, 3.9, 176.333265, 175.000000, 1, 2, 0
Airport1, 3.10, 180.188285, 178.000000, 1, 2, 0
Airport1, 3.1, 205.048470, 203.000000, 2, 1, 0
Airport1, 3.2, 208.508515, 206.719306, 2, 1, 0
Airport1, 3.5, 234.468052, 233.000000, 2, 1, 0
Airport1, 1.3, 238.730519, 237.000000, 2, 1, 0
Airport1, 1.4, 265.170238, 264.000000, 2, 1, 0
Airport1, 1.1, 269.357857, 268.000000, 3, 1, 0
Airport1, 2.4, 293.955333, 292.679236, 3, 1, 0
Airport1, 2.9, 300.280745, 299.000000, 2, 2, 0
Airport1, 2.3, 325.813965, 324.000000, 3, 1, 0
Airport1, 1.5, 331.169404, 329.000000, 2, 2, 0
Airport1, 1.7, 355.660995, 354.000000, 2, 1, 0
Airport1, 1.2, 385.253748, 384.000000, 4, 2, 0
Airport1, 1.8, 388.816924, 387.000000, 2, 1, 0
Airport1, 2.6, 414.910537, 414.000000, 4, 2, 0
Airport1, 2.7, 444.142716, 443.000000, 4, 2, 0
Airport1, 2.10, 444.564403, 443.000000, 3, 1, 0
Airport1, 2.1, 470.850555, 470.000000, 3, 2, 0
Airport1, 1.9, 499.439054, 498.405091, 3, 2, 0
Airport1, 2.2, 500.396086, 499.000000, 4, 1, 0
Airport1, 1.10, 504.389229, 503.000000, 3, 2, 0
Airport1, 2.8, 530.452835, 528.000000, 5, 1, 0
Airport1, 3.3, 561.788459, 560.000000, 3, 2, 0
Airport1, 1.6, 590.818765, 589.000000, 6, 1, 0
Airport1, 3.6, 601.683611, 600.000000, 3, 2, 0
Airport1, 3.4, 642.904201, 641.000000, 5, 2, 0
Airport1, 3.8, 671.584607, 670.000000, 3, 1, 0
Airport1, 3.10, 730.388540, 730.000000, 3, 1, 0
Airport1, 2.5, 746.220257, 744.000000, 6, 1, 0
Airport1, 3.9, 761.607814, 760.000000, 4, 1, 0
Airport1, 3.1, 764.878353, 764.000000, 4, 2, 0
Airport1, 3.7, 802.141803, 801.000000, 6, 1, 0
Airport1, 3.5, 833.191443, 831.000000, 4, 1, 0
Airport1, 3.2, 909.786165, 908.000000, 6, 1, 0
Airport1, 1.3, 917.019483, 916.000000, 5, 1, 0
Airport1, 1.4, 947.618995, 946.000000, 5, 2, 0
Airport1, 2.9, 987.139800, 985.000000, 4, 1, 0
