Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport3, 3.2, 55.956887, 53.629319, 0, 2, 1
Airport3, 3.1, 56.408870, 54.332175, 0, 2, 1
Airport3, 3.4, 87.470013, 84.628382, 0, 2, 0
Airport3, 3.3, 88.655146, 86.297645, 0, 2, 0
Airport3, 3.5, 116.173475, 114.143174, 0, 2, 1
Airport3, 3.6, 119.838709, 117.586381, 0, 2, 0
Airport3, 3.7, 145.906918, 144.391174, 0, 2, 0
Airport3, 3.8, 149.299025, 147.547130, 0, 2, 0
Airport3, 3.9, 176.333265, 174.504001, 0, 2, 0
Airport3, 3.10, 180.188285, 177.683535, 0, 2, 0
Airport3, 1.1, 204.777529, 202.986949, 1, 2, 1
Airport3, 2.4, 210.529366, 208.136377, 1, 2, 1
Airport3, 2.3, 235.288600, 233.406994, 1, 2, 1
Airport3, 1.2, 240.403540, 238.427181, 1, 2, 1
Airport3, 2.6, 264.796767, 263.226980, 1, 2, 1
Airport3, 2.7, 269.516409, 268.226394, 1, 2, 1
Airport3, 2.8, 294.908479, 293.157976, 1, 2, 1
Airport3, 2.9, 300.280745, 298.168519, 1, 2, 0
Airport3, 2.10, 324.599177, 322.789489, 1, 2, 1
Airport3, 1.5, 331.169404, 328.722378, 1, 2, 0
Airport3, 1.6, 354.650523, 352.636567, 2, 2, 1
Airport3, 1.2, 385.253748, 383.251382, 3, 2, 0
Airport3, 2.6, 414.910537, 413.211509, 3, 2, 0
Airport3, 2.2, 441.938945, 439.265818, 2, 2, 1
Airport3, 2.7, 444.142716, 442.076563, 3, 2, 0
Airport3, 2.1, 470.850555, 469.166924, 2, 2, 0
Airport3, 2.8, 473.140323, 471.039232, 3, 2, 1
Airport3, 1.9, 499.439054, 498.126059, 2, 2, 0
Airport3, 1.10, 504.389229, 502.401115, 2, 2, 0
Airport3, 3.4, 530.960112, 528.943933, 2, 2, 1
Airport3, 1.6, 534.873174, 532.669457, 4, 2, 1
Airport3, 3.3, 561.788459, 559.034071, 2, 2, 0
Airport3, 2.5, 574.520608, 572.399535, 2, 2, 1
Airport3, 3.6, 601.683611, 599.738705, 2, 2, 0
Airport3, 3.7, 633.574060, 631.530238, 2, 2, 1
Airport3, 3.4, 642.904201, 640.806324, 4, 2, 0
Airport3, 2.5, 686.651991, 683.880398, 4, 2, 1
Airport3, 3.9, 699.235484, 697.304431, 2, 2, 1
Airport3, 3.7, 745.095624, 742.403537, 4, 2, 1
Airport3, 3.1, 764.878353, 763.062652, 3, 2, 0
Airport3, 3.2, 852.905819, 850.218022, 4, 2, 1
Airport3, 1.3, 860.197879, 857.599412, 3, 2, 1
Airport3, 1.4, 947.618995, 945.803019, 4, 2, 0
Airport3, 2.4, 957.010299, 955.081057, 4, 2, 1
Airport3, 1.1, 992.789569, 989.883444, 5, 2, 1
